Altium Designer Pick and Place Locations
C:\Users\marti\AppData\Local\TempReleases\Snapshot\4\Assembly IMX462\Pick Place\Pick Place for MD2084(IMX462).csv

========================================================================================================================
File Design Information:

Date:       08/11/23
Time:       15:27
Revision:   Not in VersionControl
Variant:    IMX462
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C7","GRM188R61C475KAAJD","TopLayer","CAPC0603(1608)100_L","17.4443mm","19.1425mm","180","CAP CER 4.7UF 16V X5R 0603 10%"
"C8","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","17.4623mm","17.9751mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"C46","CL05A226MQ5N6J8","BottomLayer","CAPC0402(1005)60_L","36.7852mm","30.3852mm","90","CAP CER 22UF 6.3V X5R 0402 20%"
"C42","GRM155R61A106ME11D","BottomLayer","CAPC0402(1005)60_L","41.1102mm","30.1852mm","90","CAP CER 10UF 10V X5R 0402 20%"
"C47","GRM155R61E105KA12D","TopLayer","CAPC0402(1005)70_L","6.1880mm","12.9504mm","90","CAP CER 1UF 25V X5R 0402 10%"
"C41","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","5.7384mm","17.3990mm","0","CAP CER 0.1UF 16V X7R 0402 10%"
"C49","GRM155R61E105KA12D","BottomLayer","CAPC0402(1005)70_N","45.1922mm","32.6057mm","90","CAP CER 1UF 25V X5R 0402 10%"
"C110","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","33.9762mm","2.9464mm","0","CAP CER 0.1UF 16V X7R 0402 10%"
"C36","GRM155R60J106ME15D","BottomLayer","CAPC0402(1005)70_L","2.4446mm","23.7732mm","0","CAP CER 10UF 6.3V X5R 0402 20%"
"C109","GRM155R60J106ME15D","TopLayer","CAPC0402(1005)70_L","33.9762mm","4.6334mm","0","CAP CER 10UF 6.3V X5R 0402 20%"
"C108","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","47.5938mm","2.7078mm","90","CAP CER 0.1UF 16V X7R 0402 10%"
"C107","GRM155R60J106ME15D","TopLayer","CAPC0402(1005)70_L","48.4828mm","2.7142mm","90","CAP CER 10UF 6.3V X5R 0402 20%"
"R49","RC0402FR-1310KL","BottomLayer","RESC0402(1005)_N","41.3258mm","5.7912mm","180","RES SMD 10K OHM 1% 1/16W 0402"
"C20","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","18.2825mm","20.8895mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"C19","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","18.2825mm","21.7277mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"C18","GRM155R61E105KA12D","BottomLayer","CAPC0402(1005)70_L","27.0002mm","19.1008mm","180","CAP CER 1UF 25V X5R 0402 10%"
"C17","GRM155R61E105KA12D","BottomLayer","CAPC0402(1005)70_L","26.5323mm","21.3337mm","180","CAP CER 1UF 25V X5R 0402 10%"
"R5","RC0402FR-07649RL","TopLayer","RESC1005X40X25NL05T10","19.9000mm","1.7000mm","270","RES SMD 649 OHM 1% 1/16W 0402"
"Q5","RE1C002UNTCL","BottomLayer","RE1C002UNTCL","21.3746mm","3.8218mm","0","MOSFET N-CH 20V 0.2A EMT3"
"D3","155124M173200","BottomLayer","FP-155124M173200-MFG","20.7622mm","0.9673mm","180","Triple Color LED"
"TP3","TEST_POINT","BottomLayer","TP075_150_NS","40.3102mm","31.9852mm","180",""
"TP2","TEST_POINT","TopLayer","TP075_150_NS","25.9334mm","24.7396mm","270",""
"U1","24AA32A-I/MS","TopLayer","24AA32A-I/MS","24.1300mm","26.6700mm","180","IC EEPROM 32K I2C 400KHZ 8MSOP Memory IC 32Kb (4K x 8) I²C 400kHz 900ns 8-MSOP"
"R44","CRCW0402470RFKED","TopLayer","RESC0402(1005)_L","7.8822mm","30.8205mm","90","RES SMD 470 OHM 1% 1/16W 0402"
"R43","RC0402FR-072K49L","TopLayer","RESC0402(1005)_L","25.5778mm","16.4592mm","180","RES SMD 2.49K OHM 1% 1/16W 0402"
"R42","RC0402FR-071ML","TopLayer","RESC0402(1005)_L","22.8300mm","15.5893mm","0","RES SMD 1M OHM 1% 1/16W 0402"
"R41","RC0402FR-1310KL","BottomLayer","RESC0402(1005)_L","13.7000mm","16.6458mm","90","RES SMD 10K OHM 1% 1/16W 0402"
"R40","RC0402FR-1310KL","BottomLayer","RESC0402(1005)_L","17.3990mm","18.8214mm","270","RES SMD 10K OHM 1% 1/16W 0402"
"R38","RC0402FR-1310KL","BottomLayer","RESC0402(1005)_L","18.3598mm","19.8000mm","270","RES SMD 10K OHM 1% 1/16W 0402"
"R37","RC0402FR-1310KL","TopLayer","RESC0402(1005)_L","13.1000mm","22.5958mm","90","RES SMD 10K OHM 1% 1/16W 0402"
"R36","RC0402FR-0749R9L","TopLayer","RESC0402(1005)_L","20.4000mm","23.0000mm","90","RES SMD 49.9 OHM 1% 1/16W 0402"
"R28","RC0402FR-0749R9L","TopLayer","RESC0402(1005)_L","20.4000mm","24.8412mm","270","RES SMD 49.9 OHM 1% 1/16W 0402"
"R7","CRCW0402470RFKED","TopLayer","RESC0402(1005)_L","21.4000mm","1.8000mm","270","RES SMD 470 OHM 1% 1/16W 0402"
"R3","RC0402FR-071KL","TopLayer","RESC0402(1005)_L","59.3222mm","20.1714mm","0","RES SMD 1K OHM 1% 1/16W 0402"
"Q2","RE1C002UNTCL","BottomLayer","RE1C002UNTCL","19.3746mm","3.8218mm","0","MOSFET N-CH 20V 0.2A EMT3"
"FID4","FIDUCIAL","TopLayer","FIDUCIAL_ROUND_1MM","1.5494mm","0.0000mm","90","Fiducial with various available footprints"
"FID3","FIDUCIAL","BottomLayer","FIDUCIAL_ROUND_1MM","54.2798mm","-0.5842mm","90","Fiducial with various available footprints"
"FID2","FIDUCIAL","TopLayer","FIDUCIAL_ROUND_1MM","57.5000mm","33.4000mm","90","Fiducial with various available footprints"
"FID1","FIDUCIAL","BottomLayer","FIDUCIAL_ROUND_1MM","18.0340mm","-0.1524mm","90","Fiducial with various available footprints"
"FB2","2508056017Y2","TopLayer","2508056017Y2","3.9116mm","22.6412mm","180","FERRITE BEAD, 0.1OHM, 2A, 0805, 600R/100MHz"
"D2","SML-D12U8WT86","TopLayer","SML_D1XX8W","59.5000mm","21.5000mm","180","LED RED DIFFUSED 0603 SMD Red 620nm LED Indication - Discrete 2.2V 0603 (1608 Metric)"
"C40","CL05B104KO5NFNC","TopLayer","CAPC0402(1005)60_L","7.7840mm","14.1732mm","180","CAP CER 0.1UF 16V X7R 0402 10%"
"C37","CL05B104KO5NFNC","BottomLayer","CAPC0402(1005)60_L","2.4446mm","22.9602mm","0","CAP CER 0.1UF 16V X7R 0402 10%"
"C5","GRM188R61C475KAAJD","BottomLayer","CAPC0603(1608)100_L","21.9882mm","19.3500mm","180","CAP CER 4.7UF 16V X5R 0603 10%"
"C35","GRM155R60J106ME15D","BottomLayer","CAPC0402(1005)70_L","5.6622mm","23.9188mm","180","CAP CER 10UF 6.3V X5R 0402 20%"
"C34","GRM155R60J106ME15D","BottomLayer","CAPC0402(1005)70_L","2.4446mm","24.5872mm","0","CAP CER 10UF 6.3V X5R 0402 20%"
"C23","GRM155R60J106ME15D","BottomLayer","CAPC0402(1005)70_L","7.6200mm","5.3848mm","90","CAP CER 10UF 6.3V X5R 0402 20%"
