Altium Designer Pick and Place Locations
C:\Altium 365\BC2077\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for BC2087(Production_MX).csv

========================================================================================================================
File Design Information:

Date:       08/06/23
Time:       11:34
Revision:   f90e7a7f3cb4bc0c45b14c1af4aaf3fdd92358ce
Variant:    Production_MX
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C24","105.5690mm","26.1669mm","270","TopLayer","GRM155R71H103KA88D","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 10000PF 50V X7R 0402 10%","GRM155R71H103KA88D"
"C25","120.2000mm","25.6000mm","0","TopLayer","C1206C102KGRACTU","CAPC1206(3216)130_L","Chip Capacitor, Body 3.2x1.6mm, Height 1.3mm, IPC High Density","CAP CER 1nF 2000V X7R 1206 10%","C1206C102KGRACTU"
"C26","121.4891mm","37.6000mm","0","BottomLayer","C1206C102KGRACTU","CAPC1206(3216)130_L","Chip Capacitor, Body 3.2x1.6mm, Height 1.3mm, IPC High Density","CAP CER 1nF 2000V X7R 1206 10%","C1206C102KGRACTU"
"C27","36.9456mm","15.3188mm","0","TopLayer","GRM0335C1E180FA01D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 18PF 25V C0G 0201 10%","GRM0335C1E180FA01D"
"C28","38.3216mm","15.3188mm","180","TopLayer","GRM0335C1E180FA01D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 18PF 25V C0G 0201 10%","GRM0335C1E180FA01D"
"C29","115.2000mm","21.3360mm","180","BottomLayer","GRM033R60J105MEA2D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 1UF 6.3V X5R 0201 20%","GRM033R60J105MEA2D"
"C30","118.5199mm","22.4000mm","0","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C33","85.0000mm","33.7000mm","90","TopLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805 10%","CL21B104KCFNNNE"
"C34","33.9076mm","29.5620mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C35","38.2565mm","33.4990mm","0","TopLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C36","36.1195mm","24.8888mm","90","TopLayer","GRM188R61C475KAAJD","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 4.7UF 16V X5R 0603 10%","GRM188R61C475KAAJD"
"C37","36.2305mm","27.5250mm","270","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C38","46.1000mm","27.0444mm","90","TopLayer","GRM188R61C475KAAJD","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 4.7UF 16V X5R 0603 10%","GRM188R61C475KAAJD"
"C39","43.8285mm","38.9890mm","180","TopLayer","GRM188R61C475KAAJD","CAPC0603(1608)100_N","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC Medium Density","CAP CER 4.7UF 16V X5R 0603 10%","GRM188R61C475KAAJD"
"C40","42.6033mm","37.1411mm","180","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
