Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DM0260\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for DM0260(Production_1V0).csv

========================================================================================================================
File Design Information:

Date:       23/10/23
Time:       14:52
Revision:   3d71a8309a8b0bf7e9f6e32889664bf9dedd890c
Variant:    Production_1V0
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"J2","0.0122mm","9.8593mm","0","BottomLayer","FH26W-33S-0.3SHW(60)","AC-PY003-OV9282","connector: FH26W-33S-0.3SHW","FFC/FPC Connector, 33 Contact(s), 1 Row(s), Female, Right Angle, Surface Mount Terminal","AC_PY003-OV9282_CON"
"L1","-2.8500mm","12.6500mm","270","TopLayer","DFE252012P-1R0M=P2","DFE252012P-1R0M=P2","Chip Inductor, 2-Leads, Body 2.40x2.00mm, IPC High Density","FIXED IND 1UH 3.2A 42 MOHM SMD","1uH, 3.2A, 20%"
"MTG1","-10.5000mm","12.5310mm","90","TopLayer","","MOUNTING_HOLE_M2_RPI_CAM","NPTH 2.2mm Hole Used in Raspberry Pi Camera","=CurrentFootprint","MOUNTING_HOLE_M2_RPI_CAM"
"MTG2","10.5000mm","12.5310mm","90","TopLayer","","MOUNTING_HOLE_M2_RPI_CAM","NPTH 2.2mm Hole Used in Raspberry Pi Camera","=CurrentFootprint","MOUNTING_HOLE_M2_RPI_CAM"
"MTG3","-10.5000mm","0.0310mm","90","TopLayer","","MOUNTING_HOLE_M2_RPI_CAM","NPTH 2.2mm Hole Used in Raspberry Pi Camera","=CurrentFootprint","MOUNTING_HOLE_M2_RPI_CAM"
"MTG4","10.5000mm","0.0310mm","90","TopLayer","","MOUNTING_HOLE_M2_RPI_CAM","NPTH 2.2mm Hole Used in Raspberry Pi Camera","=CurrentFootprint","MOUNTING_HOLE_M2_RPI_CAM"
"R1","3.8000mm","12.0500mm","180","BottomLayer","RC0402FR-1310KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 10K OHM 1% 0402 1/16W Chip Resistor, 0402 [1005 Metric], 10 kohm, RC Series, 50 V, Thick Film, 62.5 mW","10K 0402"
"R2","0.8500mm","11.5000mm","180","TopLayer","CRCW040253K6FKED","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 53.6K OHM 1% 1/16W 0402","53.6k 0402"
"R3","-1.7068mm","1.2760mm","180","TopLayer","RC0402FR-1310KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 10K OHM 1% 0402 1/16W Chip Resistor, 0402 [1005 Metric], 10 kohm, RC Series, 50 V, Thick Film, 62.5 mW","10K 0402"
"R4","2.9000mm","12.5000mm","0","TopLayer","CRCW0603-0000Z0EA","RESC0603(1608)_L","Chip Resistor, Body 1.6x0.8mm, IPC High Density","RES SMD 0.0R OHM 1% 1/10W 0603","0R 0603"
"R6","4.5000mm","13.3000mm","90","TopLayer","CRCW040233K0FKED","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 33K OHM 1% 1/16W 0402","33K 0402"
"R7","4.5000mm","11.7000mm","270","TopLayer","RC0402FR-0740K2L","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 40.2K OHM 1% 1/16W 0402","40.2K 0402"
"R8","-3.8500mm","12.0500mm","180","BottomLayer","RC0402FR-1310KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 10K OHM 1% 0402 1/16W Chip Resistor, 0402 [1005 Metric], 10 kohm, RC Series, 50 V, Thick Film, 62.5 mW","10K 0402"
"R10","-9.0436mm","4.1590mm","90","TopLayer","RMCF0201FT10K0","RESC0201(0603)_L","Chip Resistor, Body 0.6x0.3mm, IPC High Density","RES SMD 10K OHM 1%  1/20W 0201","RMCF0201FT10K0"
"R11","-10.9736mm","4.0340mm","180","TopLayer","RMCF0201FT10K0","RESC0201(0603)_L","Chip Resistor, Body 0.6x0.3mm, IPC High Density","RES SMD 10K OHM 1%  1/20W 0201","RMCF0201FT10K0"
"R12","-3.5074mm","2.5930mm","270","TopLayer","RC0402FR-071KL","RESC0402(1005)_L","Chip Resistor, Body 1.0x0.5mm, IPC High Density","RES SMD 1K OHM 1% 1/16W 0402","RC0402FR-071KL"
"R13","-10.6529mm","3.1208mm","270","TopLayer","RMCF0201FT10K0","RESC0201(0603)_L","Chip Resistor, Body 0.6x0.3mm, IPC High Density","RES SMD 10K OHM 1%  1/20W 0201","RMCF0201FT10K0"
"TP1","7.5000mm","13.0000mm","180","BottomLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","TP100_200_NS"
"TP2","7.5000mm","11.0000mm","90","BottomLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","TP100_200_NS"
"TP3","-6.5116mm","-1.3893mm","0","TopLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","SDA"
"TP4","-3.6830mm","-1.1430mm","0","TopLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","TP100_200_NS"
"TP5","-3.1500mm","1.2392mm","90","TopLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","TP100_200_NS"
"TP6","-1.9604mm","2.3899mm","90","TopLayer","","TP100_200_NS","1mm dia pad, 2mm dia clearance, no silk screen","","TP100_200_NS"
"TP7","-6.3580mm","6.3092mm","270","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP8","7.3000mm","10.8000mm","0","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP9","-7.8424mm","11.4000mm","0","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP10","7.3000mm","12.3000mm","90","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP11","-6.6040mm","13.2080mm","90","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP12","-4.3180mm","5.7150mm","90","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP13","9.1327mm","2.2000mm","90","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP14","7.5950mm","2.2579mm","90","TopLayer","","TP100_150_NS","1mm dia pad, 1.5mm clearance, no silk screen","","TP100_150_NS"
"TP15","-6.4770mm","2.1590mm","90","BottomLayer","/","TP075_150_NS","0.75mm dia pad, 1.5mm dia clearance, no silk screen","","TEST_POINT"
"U1","-0.1000mm","13.0500mm","180","TopLayer","TLV62080DSGR","TLV62080DSG","WSON-8, 2.1mm x 2.1mm x 0.8mm","IC REG BUCK ADJ 1.2A SYNC 8WSON","TLV62080DSG"
"U2","9.5500mm","5.1500mm","0","TopLayer","TLV70018DCKR","TLV70018DCK","SC70-5 1.1mm","IC REG LINEAR 1.8V 200MA SC70-5 Linear Voltage Regulator IC  1 Output  200mA SC-70-5","TLV70018DCK"
"U3","-10.5280mm","6.8534mm","180","TopLayer","TLV70028DCKT","TLV70028DCK","SC70-5 1.1mm","IC REG LINEAR 2.8V 200MA SC70-5 Linear Voltage Regulator IC  1 Output  200mA SC-70-5","TLV70028DCK"
"U4","-6.5087mm","2.5400mm","270","TopLayer","24AA32A-I/MS","24AA32A-I/MS","Body: 3 x 3mm, pitch: 0.65mm","IC EEPROM 32K I2C 400KHZ 8MSOP Memory IC 32Kb (4K x 8) I²C 400kHz 900ns 8-MSOP","24AA32A-I/MS"
